Date,Price,Open,High,Low,Vol
6/15/2017,12451.8,12386.2,12582.8,12320.7,1.77
6/16/2017,12779.4,13565.9,13565.9,12451.8,3.63
6/19/2017,12713.9,13303.7,13303.7,12713.9,3.38
6/20/2017,12779.4,12779.4,12779.4,12582.8,2.78
6/21/2017,12910.5,12713.9,12910.5,12517.3,3.99
6/22/2017,13369.3,12910.5,13500.3,12910.5,4.53
6/23/2017,13500.3,13434.8,13631.4,13303.7,3.12
6/26/2017,13631.4,13434.8,13893.5,13434.8,2.9
6/27/2017,13238.2,13696.9,13696.9,13238.2,4.64
6/28/2017,13959.1,13238.2,13959.1,13172.7,3.4
6/29/2017,14024.6,14024.6,14286.8,13959.1,2.79
6/30/2017,14024.6,14024.6,14352.3,13959.1,2.48
7/3/2017,13828,14024.6,14024.6,13696.9,2.82
7/4/2017,14090.2,13828,14286.8,13828,3.05
7/5/2017,14090.2,14221.2,14286.8,13959.1,1.88
7/6/2017,14221.2,14155.7,14221.2,13959.1,1.61
7/7/2017,13893.5,14352.3,14680,13893.5,3.88
7/10/2017,13500.3,13893.5,14090.2,13238.2,4.65
7/11/2017,13704.9,13568.5,13704.9,13159.4,1.77
7/12/2017,13704.9,13773.1,13909.4,13568.5,764.94
7/13/2017,13773.1,13704.9,13977.6,13636.7,1.57
7/14/2017,13977.6,13841.3,14114,13704.9,1.96
7/17/2017,13295.8,13977.6,14114,13295.8,2.83
7/18/2017,13500.3,13295.8,13500.3,13023,2.05
7/19/2017,13295.8,13636.7,13636.7,13295.8,1.1
7/20/2017,13295.8,13295.8,13295.8,13023,948.86
7/21/2017,12886.7,13364,13364,12818.5,1.37
7/24/2017,12682.1,12886.7,12886.7,12477.6,1.68
7/25/2017,13023,12818.5,13023,12682.1,825.6
7/26/2017,13500.3,13023,13500.3,13023,1.58
7/27/2017,13432.1,13500.3,13500.3,13295.8,1.5
7/28/2017,13636.7,13432.1,13977.6,13364,1.94
7/31/2017,13636.7,13841.3,13909.4,13500.3,1.4
8/1/2017,13909.4,13909.4,14045.8,13704.9,1.78
8/2/2017,13773.1,13841.3,13977.6,13568.5,1.78
8/3/2017,13704.9,13704.9,13909.4,13636.7,922.5
8/4/2017,14045.8,13704.9,14182.2,13704.9,2.59
8/7/2017,14523.1,14114,14727.6,14114,3.29
8/8/2017,14318.5,14591.3,14591.3,14182.2,1.54
8/9/2017,13841.3,14182.2,14318.5,13636.7,3.17
8/10/2017,13704.9,13636.7,13841.3,13568.5,2.32
8/11/2017,13773.1,13841.3,13909.4,13568.5,939.35
8/14/2017,13977.6,13841.3,13977.6,13704.9,922.62
8/15/2017,13841.3,13977.6,13977.6,13773.1,792.39
8/16/2017,13841.3,13841.3,13909.4,13636.7,1.26
8/17/2017,13636.7,13773.1,13841.3,13636.7,1.2
8/18/2017,13568.5,13568.5,13704.9,13295.8,2.6
8/21/2017,13568.5,13636.7,14045.8,13568.5,2.04
8/22/2017,13500.3,13568.5,13704.9,13432.1,567.67
8/23/2017,13636.7,13500.3,13636.7,13364,919.1
8/24/2017,13568.5,13704.9,13704.9,13568.5,919.81
8/25/2017,14318.5,13568.5,14318.5,13568.5,4.1
8/28/2017,14795.8,15750.4,15750.4,14250.4,3.56
8/29/2017,14454.9,13364,14864,13364,2.21
8/30/2017,14591.3,14932.2,14932.2,14454.9,2.09
8/31/2017,14795.8,16023.1,16023.1,14523.1,4.38
9/1/2017,14864,16227.7,16227.7,14591.3,1.67
9/5/2017,14659.5,15341.3,15341.3,14659.5,2.71
9/6/2017,14318.5,16091.3,16091.3,14318.5,4.56
9/7/2017,14114,14318.5,14454.9,14114,1.98
9/8/2017,14114,14250.4,14250.4,14114,1.2
9/11/2017,14045.8,14114,14250.4,13977.6,1.23
9/12/2017,14318.5,14114,14318.5,13977.6,1.52
9/13/2017,14250.4,14454.9,14523.1,14182.2,1.54
9/14/2017,14114,14250.4,14318.5,14114,1.97
9/15/2017,14114,14114,14318.5,14045.8,1.48
9/18/2017,14250.4,14250.4,14454.9,14045.8,2.39
9/19/2017,14182.2,14250.4,14523.1,14182.2,1.8
9/20/2017,14250.4,14318.5,14318.5,14114,1.03
9/21/2017,14114,14318.5,14386.7,14114,1.23
9/22/2017,13977.6,14182.2,14182.2,13977.6,1.25
9/25/2017,13773.1,13977.6,14045.8,13773.1,1.41
9/26/2017,13909.4,13841.3,13977.6,13841.3,1.2
9/27/2017,14318.5,13909.4,14454.9,13909.4,2.45
9/28/2017,14114,14318.5,14318.5,13977.6,1.27
9/29/2017,14114,14114,14182.2,14045.8,979.34
10/2/2017,13977.6,14114,14114,13909.4,848.26
10/3/2017,13636.7,13977.6,14045.8,13568.5,2.4
10/4/2017,13909.4,13704.9,13909.4,13704.9,1.08
10/5/2017,13841.3,13977.6,14045.8,13841.3,1.04
10/6/2017,14182.2,13841.3,14182.2,13841.3,1.82
10/9/2017,14386.7,14182.2,14591.3,14182.2,2.73
10/10/2017,14591.3,14386.7,14591.3,14386.7,1.68
10/11/2017,14523.1,14591.3,14795.8,14454.9,2.45
10/12/2017,14591.3,14523.1,14591.3,14454.9,1.4
10/13/2017,15341.3,14591.3,15409.5,14591.3,5.33
10/16/2017,15477.7,15341.3,15614,15204.9,2.42
10/17/2017,15409.5,15409.5,15545.8,15341.3,1.78
10/18/2017,15204.9,15409.5,15545.8,15204.9,2.93
10/19/2017,15273.1,15204.9,15409.5,15136.7,1.49
10/20/2017,15273.1,15341.3,15614,15204.9,1.76
10/23/2017,14386.7,15614,15682.2,14386.7,5.66
10/24/2017,14523.1,14454.9,14523.1,14318.5,3
10/25/2017,14523.1,14523.1,14659.5,14523.1,1.07
10/26/2017,14659.5,14659.5,14932.2,14591.3,3.36
10/27/2017,14659.5,14659.5,14795.8,14523.1,2
10/30/2017,14659.5,14795.8,15000.4,14659.5,3.19
10/31/2017,14591.3,14659.5,14727.6,14591.3,1.51
11/1/2017,14727.6,14659.5,14864,14591.3,1.82
11/2/2017,14659.5,14727.6,14795.8,14523.1,3.91
11/3/2017,14591.3,14454.9,14659.5,14045.8,3.5
11/6/2017,14727.6,14727.6,14795.8,14591.3,1.4
11/7/2017,14727.6,14727.6,14795.8,14659.5,1.11
11/8/2017,14932.2,14591.3,15136.7,14591.3,2.46
11/9/2017,15682.2,15000.4,16023.1,15000.4,5.34
11/10/2017,15545.8,16705,16705,15477.7,2.64
11/13/2017,16841.3,15614,17045.9,15545.8,10.14
11/14/2017,16909.5,16841.3,17318.6,16636.8,4.89
11/15/2017,16909.5,16977.7,17114.1,16636.8,3.22
11/16/2017,17455,16909.5,18068.6,16841.3,6.15
11/17/2017,17182.2,17727.7,18068.6,17114.1,5.67
11/20/2017,17045.9,17182.2,17386.8,16909.5,3.42
11/21/2017,17182.2,17114.1,17659.5,17114.1,4.65
11/22/2017,17591.3,17182.2,17591.3,17182.2,3.59
11/23/2017,18068.6,17386.8,18341.4,17386.8,6.14
11/24/2017,18205,18136.8,18341.4,17864.1,2.43
11/27/2017,18341.4,18136.8,18545.9,18068.6,2.97
11/28/2017,18000.4,18409.5,18409.5,17795.9,6.75
11/29/2017,19432.3,18068.6,19432.3,18068.6,4.95
11/30/2017,19432.3,19636.8,19773.2,19159.6,2.28
12/1/2017,19636.8,19500.5,19636.8,18886.8,3.62
12/4/2017,19568.7,19568.7,20045.9,19432.3,2.58
12/5/2017,18886.8,19568.7,19773.2,18886.8,3.52
