Date,Price,Open,High,Low,Vol
5/12/2017,17293.1,17329.1,17437.2,17293.1,1220
5/15/2017,17221,17293.1,17293.1,17203,1170
5/16/2017,17113,17221,17401.2,17094.9,1470
5/17/2017,17221,17113,17293.1,17022.9,1280
5/18/2017,17257.1,17275.1,17545.3,17167,2100
5/19/2017,17437.2,17257.1,17437.2,17221,1660
5/22/2017,17473.2,17473.2,17671.4,17473.2,3970
5/23/2017,17599.3,17527.3,17797.5,17473.2,4770
5/24/2017,17689.4,17725.4,17743.4,17599.3,3010
5/25/2017,18016.7,18185.9,18185.9,17953.3,3440
5/26/2017,17805.3,18016.7,18016.7,17763,1740
5/29/2017,18016.7,17805.3,18059,17805.3,1270
5/30/2017,18185.9,17889.8,18460.8,17889.8,3750
5/31/2017,18185.9,18185.9,18418.5,18185.9,2130
6/1/2017,18376.2,18228.2,18397.4,18228.2,1580
6/2/2017,18291.6,18439.6,18481.9,18228.2,1620
6/5/2017,18291.6,18439.6,18460.8,18249.3,1340
6/6/2017,18735.7,18312.8,18947.2,18312.8,2970
6/7/2017,18630,18947.2,18947.2,18630,1690
6/8/2017,18693.4,18608.8,18756.8,18481.9,1270
6/9/2017,19095.2,18693.4,19243.2,18693.4,3150
6/12/2017,18904.9,19031.7,19116.3,18862.6,1110
6/13/2017,19179.8,19031.7,19412.4,19031.7,3160
6/14/2017,19116.3,19370.1,19370.1,19074,1570
6/15/2017,19200.9,19137.5,19200.9,19052.9,1230
6/16/2017,19327.8,19243.2,19348.9,19158.6,1210
6/19/2017,19581.5,19454.7,19623.8,19433.5,2390
6/20/2017,19518.1,19666.1,19666.1,19454.7,1530
6/21/2017,20089.1,19581.5,20089.1,19475.8,3900
6/22/2017,20131.4,20004.5,20427.4,20004.5,2500
6/23/2017,20067.9,20131.4,20215.9,19962.2,1530
6/26/2017,19750.7,20237.1,20237.1,19666.1,2760
6/27/2017,19327.8,19666.1,19708.4,19222.1,5660
6/28/2017,19602.7,19412.4,19623.8,19306.6,1890
6/29/2017,19666.1,19581.5,19729.6,19581.5,1470
6/30/2017,19814.2,19666.1,19814.2,19370.1,2240
7/3/2017,19623.8,19814.2,19814.2,19581.5,1330
7/4/2017,19708.4,19666.1,19750.7,19581.5,1850
7/5/2017,19750.7,19666.1,19750.7,19645,1020
7/6/2017,20258.2,19771.9,20258.2,19708.4,3860
7/7/2017,20554.3,20342.8,20892.6,20300.5,4910
7/10/2017,20385.1,20385.1,20596.6,20131.4,3650
7/11/2017,20131.4,20258.2,20342.8,19877.6,2060
