Date,Price,Open,High,Low,Vol
12/12/2017,18444.8,18368.2,18674.4,17105.4,3290000
13/12/2017,18291.7,18444.8,18521.3,18100.4,2540000
14/12/2017,18712.6,18215.2,18750.9,17794.2,1850000
15/12/2017,18597.8,18521.3,18712.6,18253.4,808260
18/12/2017,18636.1,18597.8,18750.9,18521.3,1290000
19/12/2017,18444.8,18636.1,18904,18444.8,1180000
20/12/2017,18750.9,18444.8,18904,18406.5,1100000
21/12/2017,18521.3,18750.9,18980.5,18521.3,1650000
22/12/2017,18253.4,18291.7,18521.3,17985.6,2430000
25/12/2017,18215.2,18521.3,18597.8,18138.6,720010
26/12/2017,18444.8,18215.2,18444.8,17985.6,1270000
27/12/2017,18674.4,18559.6,18865.7,18406.5,1510000
28/12/2017,18942.2,18674.4,19210.1,18674.4,1740000
29/12/2017,19516.3,19171.8,19516.3,18942.2,3260000
2/1/2018,20664.3,19516.3,20664.3,19286.7,3650000
3/1/2018,20511.2,20664.3,20702.5,20281.6,3090000
4/1/2018,21085.2,20511.2,21200,20319.9,5560000
5/1/2018,20970.4,21046.9,21085.2,20626,2400000
8/1/2018,21314.8,21200,21582.7,20970.4,2580000
9/1/2018,20970.4,21314.8,21391.3,19898.9,5300000
10/1/2018,21008.7,20970.4,21620.9,20893.9,3540000
11/1/2018,21123.5,21046.9,21238.3,20779.1,1970000
12/1/2018,20855.6,20817.3,21085.2,20740.8,3130000
15/01/2018,20893.9,20702.5,21200,20472.9,2250000
16/01/2018,21200,20932.1,21353.1,20855.6,2980000
17/01/2018,20664.3,21200,21506.1,20664.3,3580000
18/01/2018,20740.8,20358.1,20740.8,20128.5,2310000
19/01/2018,20587.7,20817.3,20893.9,20358.1,4470000
22/01/2018,21774,20587.7,21888.8,20549.5,6340000
25/01/2018,23266.4,22271.5,23266.4,22041.9,10040000
26/01/2018,24873.7,24873.7,24873.7,24108.3,7140000
29/01/2018,26480.9,25256.3,26595.7,25256.3,5530000
30/01/2018,27552.4,25141.5,27552.4,25141.5,4130000
31/01/2018,26174.7,28470.8,28509,26174.7,2210000
1/2/2018,25792.1,26404.3,26442.6,25179.8,2380000
2/2/2018,25792.1,25485.9,26251.3,25332.9,2230000
5/2/2018,23993.5,25409.4,25562.5,23993.5,3510000
6/2/2018,22348,22348,23572.6,22348,4170000
7/2/2018,23878.7,23878.7,23878.7,22960.3,2590000
8/2/2018,24644.1,23878.7,25103.3,23878.7,2570000
9/2/2018,24720.6,22960.3,25256.3,22922,2260000
12/2/2018,26442.6,25256.3,26442.6,24873.7,2970000
13/02/2018,27093.2,27858.5,27935,26787,3090000
21/02/2018,28623.8,27552.4,28968.2,27246.2,2690000
22/02/2018,28164.6,28317.7,29542.2,28126.4,3590000
23/02/2018,28394.2,28317.7,28700.4,27475.8,4560000
26/02/2018,29159.6,29006.5,29657.1,28623.8,4420000
27/02/2018,29197.8,29159.6,29695.3,28776.9,2790000
28/02/2018,29848.4,29006.5,30231.1,28815.2,5690000
1/3/2018,28930,29542.2,30307.6,28700.4,3310000
2/3/2018,28930,28317.7,29083,28241.2,2990000
5/3/2018,26940.1,29274.4,29389.2,26940.1,3260000
6/3/2018,28815.2,27552.4,28815.2,27131.4,3180000
7/3/2018,28700.4,29083,29159.6,28241.2,2580000
8/3/2018,28470.8,28700.4,29083,28317.7,1420000
9/3/2018,28509,28700.4,29083,28317.7,2850000
12/3/2018,29542.2,29618.8,29848.4,29083,2530000
13/03/2018,30001.5,29542.2,30001.5,29083,2490000
14/03/2018,29848.4,30460.7,30460.7,29771.9,2510000
15/03/2018,31914.8,29848.4,31914.8,29618.8,4440000
16/03/2018,32756.7,32374,33292.4,31991.3,3310000
19/03/2018,31914.8,32909.8,32986.3,31532.1,2980000
20/03/2018,32527.1,31532.1,32986.3,31379.1,2350000
21/03/2018,33292.4,33292.4,33522,32603.6,2020000
22/03/2018,33904.7,33292.4,34057.8,33101.1,3180000
23/03/2018,32412.3,33292.4,33369,31685.2,4610000
26/03/2018,34363.9,32144.4,34363.9,32144.4,2430000
27/03/2018,33751.6,35205.8,35665,33751.6,3700000
28/03/2018,34096,33675.1,34249.1,33215.9,2100000
29/03/2018,33675.1,34096,34210.8,33522,1130000
30/03/2018,33215.9,33522,33636.8,32641.9,2780000
2/4/2018,34440.4,33522,34440.4,32871.5,3280000
3/4/2018,34517,34670,35052.7,34210.8,1690000
4/4/2018,34287.4,34517,34784.9,34287.4,1900000
5/4/2018,33675.1,34287.4,34287.4,33483.8,2190000
6/4/2018,33675.1,33828.2,34210.8,33522,1850000
9/4/2018,33981.2,33904.7,34440.4,33215.9,3430000
10/4/2018,34823.1,34363.9,35511.9,34287.4,5260000
11/4/2018,34057.8,35818.1,35818.1,33675.1,3000000
12/4/2018,33981.2,33904.7,34440.4,33369,2280000
13/04/2018,32144.4,34057.8,34287.4,31914.8,4240000
16/04/2018,30613.7,31379.1,32144.4,30613.7,2780000
17/04/2018,32067.9,30613.7,32067.9,30384.1,3160000
18/04/2018,30766.8,32680.2,32680.2,30766.8,1500000
19/04/2018,29083,30766.8,30919.9,28930,3460000
20/04/2018,30192.8,29465.7,30269.3,28317.7,3040000
23/04/2018,28088.1,30460.7,31111.2,28088.1,4040000
24/04/2018,29083,28317.7,29465.7,27475.8,3150000
26/04/2018,27935,28930,29465.7,27169.7,2780000
27/04/2018,27628.9,27858.5,29159.6,27552.4,2550000
2/5/2018,25715.5,28088.1,28241.2,25715.5,2350000
3/5/2018,25792.1,24644.1,26710.5,23917,5240000
4/5/2018,24873.7,26098.2,26404.3,24873.7,2010000
7/5/2018,26595.7,25218.1,26595.7,24261.4,4480000
8/5/2018,27169.7,26595.7,28279.4,26327.8,3790000
9/5/2018,26787,26787,27743.7,26404.3,2320000
10/5/2018,25026.7,26327.8,27246.2,24911.9,3560000
11/5/2018,26021.7,25026.7,26174.7,24108.3,2660000
14/05/2018,26251.3,26480.9,26557.4,25792.1,1150000
15/05/2018,26480.9,26251.3,26787,26021.7,2790000
16/05/2018,25409.4,26098.2,26251.3,25371.1,2340000
17/05/2018,25256.3,25409.4,25639,25026.7,1890000
18/05/2018,25218.1,25256.3,25562.5,23725.6,3690000
21/05/2018,24108.3,25218.1,25218.1,24108.3,3030000
22/05/2018,22424.6,23725.6,24031.8,22424.6,3920000
23/05/2018,23304.7,22041.9,23343,22003.6,2290000
24/05/2018,22692.4,23343,23534.3,22539.4,1370000
25/05/2018,21200,22845.5,23036.8,21200,2720000
28/05/2018,19745.9,20740.8,20817.3,19745.9,4910000
29/05/2018,21123.5,20281.6,21123.5,19745.9,3610000
30/05/2018,21123.5,21429.6,21812.3,20932.1,2700000
31/05/2018,22386.3,20893.9,22501.1,20893.9,4290000
1/6/2018,22730.7,22195,23496,22041.9,4570000
4/6/2018,23343,22195,23419.5,21735.7,6140000
5/6/2018,23266.4,23189.9,23878.7,22654.2,3860000
6/6/2018,24337.9,23304.7,24337.9,22807.2,3190000
