"Date","Price","Open","High","Low","Vol.","Change %"
"02/24/2023","20,150.0","20,900.0","21,100.0","20,050.0","4.01M","-3.59%"
"02/23/2023","20,900.0","20,650.0","20,900.0","19,600.0","9.47M","1.21%"
"02/22/2023","20,650.0","21,000.0","21,950.0","20,650.0","11.81M","-3.95%"
"02/21/2023","21,500.0","21,950.0","22,550.0","21,250.0","14.52M","-0.92%"
"02/20/2023","21,700.0","21,200.0","21,700.0","20,900.0","7.13M","4.08%"
"02/17/2023","20,850.0","20,450.0","21,350.0","20,400.0","8.70M","1.71%"
"02/16/2023","20,500.0","20,500.0","20,650.0","20,200.0","4.89M","1.74%"
"02/15/2023","20,150.0","18,900.0","20,150.0","18,900.0","10.05M","6.90%"
"02/14/2023","18,850.0","18,950.0","19,200.0","18,700.0","3.30M","0.80%"
"02/13/2023","18,700.0","18,950.0","19,200.0","18,300.0","6.45M","-3.11%"
"02/10/2023","19,300.0","19,800.0","19,950.0","19,300.0","3.97M","-2.77%"
"02/09/2023","19,850.0","19,750.0","20,150.0","19,600.0","3.73M","0.51%"
"02/08/2023","19,750.0","19,650.0","20,250.0","18,800.0","6.86M","2.07%"
"02/07/2023","19,350.0","20,750.0","20,750.0","19,200.0","7.84M","-5.61%"
"02/06/2023","20,500.0","20,300.0","20,800.0","20,250.0","4.35M","-0.49%"
"02/03/2023","20,600.0","20,000.0","21,000.0","20,000.0","6.98M","3.78%"
"02/02/2023","19,850.0","20,400.0","20,550.0","19,800.0","8.48M","-2.46%"
"02/01/2023","20,350.0","22,000.0","22,200.0","20,350.0","12.55M","-6.86%"
"01/31/2023","21,850.0","20,700.0","21,850.0","20,600.0","8.70M","4.80%"
"01/30/2023","20,850.0","21,600.0","22,150.0","20,800.0","13.67M","-3.47%"
"01/27/2023","21,600.0","21,500.0","22,200.0","21,250.0","9.18M","1.89%"
"01/19/2023","21,200.0","20,700.0","21,200.0","20,600.0","7.78M","1.44%"
"01/18/2023","20,900.0","20,550.0","21,200.0","20,250.0","8.57M","1.95%"
"01/17/2023","20,500.0","20,300.0","20,950.0","20,300.0","8.79M","1.99%"
"01/16/2023","20,100.0","19,800.0","20,500.0","19,600.0","8.66M","2.03%"
"01/13/2023","19,700.0","20,450.0","20,700.0","19,700.0","9.22M","-3.19%"
"01/12/2023","20,350.0","19,600.0","20,350.0","19,300.0","11.25M","4.36%"
"01/11/2023","19,500.0","19,800.0","19,900.0","19,350.0","8.80M","0.78%"
"01/10/2023","19,350.0","18,100.0","19,350.0","17,650.0","15.74M","6.91%"
"01/09/2023","18,100.0","18,550.0","18,750.0","17,950.0","6.67M","-1.09%"
"01/06/2023","18,300.0","19,300.0","19,300.0","18,300.0","9.40M","-4.44%"
"01/05/2023","19,150.0","18,350.0","19,150.0","18,200.0","10.54M","4.93%"
"01/04/2023","18,250.0","18,950.0","19,350.0","18,250.0","12.12M","-1.08%"
"01/03/2023","18,450.0","17,700.0","18,450.0","17,650.0","7.71M","6.96%"
"12/30/2022","17,250.0","16,850.0","17,700.0","16,550.0","7.05M","3.60%"
"12/29/2022","16,650.0","16,350.0","17,200.0","16,350.0","6.22M","1.22%"
"12/28/2022","16,450.0","16,800.0","16,950.0","16,350.0","4.29M","-2.08%"
"12/27/2022","16,800.0","16,100.0","16,800.0","15,800.0","4.23M","6.33%"
"12/26/2022","15,800.0","16,350.0","17,150.0","15,600.0","8.40M","-2.47%"
"12/23/2022","16,200.0","16,100.0","16,700.0","16,000.0","4.35M","1.25%"
"12/22/2022","16,000.0","16,400.0","16,400.0","15,400.0","5.34M","0.63%"
"12/21/2022","15,900.0","17,000.0","17,000.0","15,450.0","7.44M","-4.22%"
"12/20/2022","16,600.0","17,700.0","17,900.0","16,600.0","13.65M","-6.74%"
"12/19/2022","17,800.0","18,300.0","18,900.0","17,800.0","12.22M","-5.32%"
"12/16/2022","18,800.0","17,950.0","19,350.0","17,900.0","10.10M","2.45%"
"12/15/2022","18,350.0","18,500.0","18,700.0","17,850.0","7.17M","-0.81%"
"12/14/2022","18,500.0","19,100.0","19,800.0","18,500.0","8.75M","-2.63%"
"12/13/2022","19,000.0","18,000.0","19,000.0","17,400.0","11.22M","5.56%"
"12/12/2022","18,000.0","19,000.0","19,250.0","18,000.0","14.34M","-0.28%"
"12/09/2022","18,050.0","16,850.0","18,050.0","16,350.0","13.69M","6.80%"
"12/08/2022","16,900.0","16,500.0","17,400.0","16,350.0","8.37M","3.68%"
"12/07/2022","16,300.0","16,500.0","17,100.0","15,750.0","8.41M","-1.81%"
"12/06/2022","16,600.0","17,200.0","17,700.0","16,600.0","20.07M","-6.74%"
"12/05/2022","17,800.0","17,400.0","17,800.0","17,150.0","10.58M","6.91%"
"12/02/2022","16,650.0","15,200.0","16,650.0","15,100.0","11.61M","6.73%"
"12/01/2022","15,600.0","16,000.0","16,650.0","15,250.0","12.31M","0.00%"
"11/30/2022","15,600.0","15,450.0","15,700.0","14,900.0","8.88M","1.96%"
"11/29/2022","15,300.0","15,100.0","15,450.0","14,300.0","10.66M","3.03%"
"11/28/2022","14,850.0","14,650.0","14,850.0","14,600.0","5.49M","6.83%"
"11/25/2022","13,900.0","13,500.0","13,900.0","13,200.0","5.18M","6.92%"
"11/24/2022","13,000.0","12,750.0","13,200.0","12,350.0","5.07M","-0.38%"
"11/23/2022","13,050.0","13,700.0","14,150.0","13,050.0","4.48M","-6.79%"
"11/22/2022","14,000.0","14,200.0","15,100.0","13,800.0","7.59M","-1.41%"
"11/21/2022","14,200.0","14,100.0","14,500.0","13,850.0","5.53M","2.90%"
"11/18/2022","13,800.0","12,600.0","13,800.0","12,050.0","8.26M","6.98%"
"11/17/2022","12,900.0","13,050.0","13,300.0","12,700.0","2.99M","2.38%"
"11/16/2022","12,600.0","11,000.0","12,600.0","11,000.0","13.15M","6.78%"
"11/15/2022","11,800.0","11,800.0","12,100.0","11,800.0","3.41M","-6.72%"
"11/14/2022","12,650.0","13,000.0","13,200.0","12,650.0","3.44M","-6.64%"
"11/11/2022","13,550.0","14,950.0","15,000.0","13,550.0","7.94M","-6.87%"
"11/10/2022","14,550.0","15,000.0","15,400.0","14,550.0","4.29M","-6.73%"
"11/09/2022","15,600.0","15,500.0","16,200.0","15,300.0","4.12M","1.96%"
"11/08/2022","15,300.0","14,100.0","15,500.0","14,100.0","4.49M","4.44%"
"11/07/2022","14,650.0","15,850.0","16,300.0","14,650.0","7.57M","-6.98%"
"11/04/2022","15,750.0","16,600.0","16,900.0","15,750.0","8.74M","-6.80%"
"11/03/2022","16,900.0","15,500.0","16,900.0","15,500.0","8.26M","6.96%"
"11/02/2022","15,800.0","16,100.0","16,450.0","15,800.0","4.35M","-0.63%"
"11/01/2022","15,900.0","16,300.0","16,450.0","15,900.0","3.91M","-0.31%"
"10/31/2022","15,950.0","15,200.0","16,000.0","14,650.0","6.23M","5.98%"
"10/28/2022","15,050.0","14,850.0","15,450.0","14,800.0","6.65M","4.15%"
"10/27/2022","14,450.0","13,700.0","14,450.0","13,550.0","3.78M","6.64%"
"10/26/2022","13,550.0","14,500.0","14,700.0","13,550.0","3.62M","-4.58%"
"10/25/2022","14,200.0","14,500.0","15,450.0","13,750.0","6.97M","-3.73%"
"10/24/2022","14,750.0","15,950.0","16,000.0","14,750.0","4.77M","-6.94%"
"10/21/2022","15,850.0","17,000.0","17,300.0","15,850.0","7.76M","-6.76%"
"10/20/2022","17,000.0","17,550.0","18,150.0","17,000.0","6.38M","-3.95%"
"10/19/2022","17,700.0","17,650.0","18,200.0","17,550.0","4.45M","0.57%"
"10/18/2022","17,600.0","18,200.0","18,500.0","17,550.0","6.42M","-0.85%"
